ACCIDENT_NUMBER,EVENT_DATE,YEAR,CITY,STATE,LATITUDE,LONGITUDE,INJURY_SEVERITY,AIRCRAFT_DAMAGE,AIRCRAFT_CATEGORY,MAKE,MODEL,TOTAL_FATALITIES,TOTAL_INJURIES,TOTAL_UNINJURED
GAA19CA539,9/4/2019,2019,WINFIELD, AL,33.863333,-87.845277,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,J3C,0,0,1
ANC19LA051,9/3/2019,2019,GIRDWOOD, AK,60.968889,-149.119445,NON-FATAL,SUBSTANTIAL,AIRPLANE,LAKE,LA-4-200,0,0,1
CEN19LA313,9/3/2019,2019,MACK, CO,39.268056,-108.864167,NON-FATAL,SUBSTANTIAL,AIRPLANE,JACKSON,VELOCITY,0,0,1
CEN19LA319,9/2/2019,2019,BRANSON, MO,36.531945,-93.200556,NON-FATAL,SUBSTANTIAL,AIRPLANE,LANCAIR,LC41-550FG,0,3,0
CEN19LA297,9/2/2019,2019,INDEPENDENCE, MI,42.757222,-83.353333,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,J3C,0,2,0
CEN19LA302,9/2/2019,2019,LA GRANGE, TX,29.908333,-96.95,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,0,1
GAA19CA520,9/2/2019,2019,MACKINAC ISLAND, MI,45.865,-84.637222,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA32RT,0,0,6
ERA19LA263,9/2/2019,2019,RUSSELLVILLE, AL,34.539444,-87.530834,FATAL(1),DESTROYED,AIRPLANE,WEATHERLY,620,1,0,0
GAA19CA523,9/2/2019,2019,SAN CARLOS, CA,37.511944,-122.249444,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,A185,0,0,1
GAA19CA534,9/2/2019,2019,SAWYER, MI,46.318889,-87.281945,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28,0,0,2
CEN19CA336,9/2/2019,2019,TAYLOR, TX,30.572778,-97.443055,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA38,0,0,2
CEN19TA327,9/2/2019,2019,TULSA, OK,36.198333,-95.888055,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA60,0,0,2
GAA19CA522,9/1/2019,2019,BANDERA, WA,47.395277,-121.536389,NON-FATAL,SUBSTANTIAL,AIRPLANE,STINSON,108,0,0,1
GAA19CA521,9/1/2019,2019,BELUGA, AK,61.229445,-151.769167,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA18,0,0,1
GAA19CA530,9/1/2019,2019,CHICKALOON, AK,61.673056,-148.546944,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 18,0,0,1
ERA19LA264,9/1/2019,2019,FOLEY, AL,30.368611,-87.687777,NON-FATAL,SUBSTANTIAL,AIRPLANE,CIRRUS,SR22,0,0,4
GAA19CA524,9/1/2019,2019,MANCHESTER, NH,42.932778,-71.435833,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 28-180,0,0,1
CEN19LA299,8/31/2019,2019,CONROE, TX,30.403889,-95.437222,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28,0,2,0
GAA19CA527,8/31/2019,2019,CONVINGTON, TN,35.583334,-89.587222,NON-FATAL,SUBSTANTIAL,AIRPLANE,DIAMOND,DA20,0,0,2
WPR19LA247,8/31/2019,2019,EL MONTE, CA,34.0925,-118.031111,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,510,0,2,0
WPR19LA249,8/31/2019,2019,ASOTIN, WA,46.251667,-116.968611,NON-FATAL,SUBSTANTIAL,HELICOPTER,HUGHES,369,0,0,2
ANC19CA057,8/30/2019,2019,ARCTIC VILLAGE, AK,68.090156,-145.59938,MINOR,SUBSTANTIAL,AIRPLANE,PIPER,PA22,0,1,1
ANC19LA048,8/30/2019,2019,FAIRBANKS, AK,64.8925,-148.368889,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA-18,0,0,1
GAA19CA537,8/30/2019,2019,MURRIETA, CA,33.574167,-117.128611,NON-FATAL,SUBSTANTIAL,AIRPLANE,CZECH SPORT,SPORTCRUISER,0,0,1
WPR19TA248,8/30/2019,2019,NAMPA, ID,43.575556,-116.520556,NON-FATAL,SUBSTANTIAL,AIRPLANE,HALL,KITFOX,0,1,1
GAA19CA568,8/30/2019,2019,PRESCOTT, AZ,34.654722,-112.419167,NON-FATAL,SUBSTANTIAL,AIRPLANE,LUSCOMBE,8,0,0,2
CEN19LA295,8/29/2019,2019,OLNEY, TX,33.350833,-98.819167,NON-FATAL,SUBSTANTIAL,AIRPLANE,AIR TRACTOR,AT502,0,1,0
WPR19FA246,8/29/2019,2019,ST. IGNATIOUS, MT,47.275834,-114.124167,FATAL(3),SUBSTANTIAL,AIRPLANE,BEECH,33,3,0,0
ANC19LA047,8/29/2019,2019,TALKEETNA, AK,62.321389,-150.092777,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA-22-150,0,0,2
CEN19LA292,8/28/2019,2019,DENVER, CO,39.861667,-104.673056,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,1,0
